"","FY","State","StateName","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"48","2007","WA","Washington",643302.183122425,1782903.7317706,1025951.47427178,4929.05834,94879.6225253687,0,26600.2886,40864.9822909951,589678.305742457,93320
"49","2007","WV","West Virginia",177544.144283808,895328.16567458,375149.352541998,3313.3382,57728.8599825044,0,47233.74585,9282.65810436287,402620.210995715,60714
"50","2007","WI","Wisconsin",446414.689226329,1282246.73946716,571184.538685019,562.85856,42449.7638770841,0,29354.99064,35705.0953819941,602989.492323067,110554
"51","2007","WY","Wyoming",56124.829123657,192589.239415182,73165.8129627203,553.55935,5289.03183461013,0,855.5693,2873.6892919407,109851.576675911,18451
"52","2007","PR","Puerto Rico",122640.276987437,929403.706247676,466295.920598133,30668.92641,20672.09546,0,15254.69199,2468.05351831379,394044.018271229,63186
"53","2008","AL","Alabama",413578.880435407,1714683.46267971,990465.516059335,8953.42655,58268.9238228554,0,28783.01779,21573.8442422648,606638.734215258,100488.446137376
"54","2008","AK","Alaska",75596.7653518245,277988.669645746,134191.018063025,15369.90488,10517.88726969,0,4868.93599,2312.83744134487,110728.086001686,14431.6544486036
"55","2008","AZ","Arizona",564795.831156794,1874262.5209957,891942.971851935,14985.25028,86662.2044678479,0,62103.53063,33596.4360234981,784972.127742419,122558.034698091
"56","2008","AR","Arkansas",260073.90395376,1320406.79997898,632338.733465814,6211.70924,31298.758296105,0,37264.89375,11851.7780813413,601440.927145716,87418.1364146218
"57","2008","CA","California",2078267.32801819,7152712.16696841,3158634.86174518,70439.29459,310005.100700494,0,170925.38299,155717.045736229,3286990.4812065,408252.379508118
"58","2008","CO","Colorado",426161.861268954,1388469.83202297,712531.927624328,51009.86666,76491.9903867873,0,54206.06881,27126.8603886497,467103.118153201,72800.4348543298
"59","2008","CT","Connecticut",245642.751175547,679924.082258038,236035.57483735,1467.44445,42845.3371113165,0,13690.70445,23981.6166088698,361903.404800501,53935.6578304412
"60","2008","DE","Delaware",79915.5419592631,213192.641696416,101716.543934959,115.8412,6841.75612724232,0,4642.32371,4334.88325022158,95541.2934739932,13891.5176727341
"61","2008","DC","District of Columbia",38589.1353134909,1675905.09996191,103303.833729388,173507.68984,14044.1512133663,0,1232827.40147,2646.04985956749,149575.97384959,10304.6093796448
"62","2008","FL","Florida",1715114.43380928,6342117.52881727,3067797.14243709,107942.53056,225209.219972532,0,129573.83999,123494.863385136,2688099.93247251,442250.988789241
"63","2008","GA","Georgia",769567.056974631,2650371.30957647,1389206.55511148,4739.23914,169517.046589839,0,92425.2918,38042.5926613482,956440.584273797,146425.078418505
"64","2008","HI","Hawaii",118017.179811839,368899.192564331,197498.417278319,1149.62808,19602.4856402548,0,12324.36718,11577.2909662979,126747.00341946,20229.1225096035
"65","2008","ID","Idaho",137202.804190354,458679.437819241,222034.014806418,2896.81631,16756.9200797444,0,6609.24583,6672.28510521731,203710.155687862,33812.5621694342
"66","2008","IL","Illinois",822104.203176804,2398755.54849552,851368.721138849,24052.15268,95238.0409245306,0,85054.73533,63283.1865749889,1279758.71184715,184174.637532055
"67","2008","IN","Indiana",509313.441383536,1387013.67223071,602184.480085749,5223.16555,41357.6141521565,0,28162.68664,22824.9425751591,687260.783227646,116688.548400309
"68","2008","IA","Iowa",245845.061055477,755339.927408068,322473.169550757,129.39864,23290.2849961345,0,8049.75571,17407.6562570958,383989.66225408,69154.5116172103
"69","2008","KS","Kansas",232867.720249945,759680.313697751,328384.399300385,207.55442,27970.9035727059,0,21131.80365,16410.9917784278,365574.660976232,60224.2502561669
"70","2008","KY","Kentucky",343557.883849023,1399801.90890807,711243.003259551,740.51342,43228.5906542373,0,24456.16107,14291.2397650759,605842.400739201,97296.6378933029
"71","2008","LA","Louisiana",318923.863405315,1277585.00755981,641160.466235698,5737.36345,36795.5454482231,0,25195.93559,16803.9697571459,551891.727078744,82951.0052275229
"72","2008","ME","Maine",142315.90612166,614997.571125505,342467.649417757,1614.60544,23729.4056005779,0,12482.83456,8366.96858147218,226336.107525698,39026.8825631528
"73","2008","MD","Maryland",480217.988184231,1365882.97495265,611915.488528554,7266.39083,59498.8405008243,0,28519.90197,34000.0684688893,624682.284654384,76333.3294698321
"74","2008","MA","Massachusetts",424765.354727223,1510357.77479095,657361.822189454,2764.52438,42860.4989278296,0,29524.20771,40950.1573304327,736896.564253229,83006.0191583985
"75","2008","MI","Michigan",742220.55815102,1887206.09004877,918187.169203466,3913.79731,63417.8069922351,0,43899.69136,42209.9705920228,815577.654591043,127092.182855529
"76","2008","MN","Minnesota",399496.247626114,1480071.82647142,652123.293125276,31599.1037,43836.4744238825,0,60903.92774,30217.3821656799,661391.645316583,99840.282006333
"77","2008","MS","Mississippi",212507.6572017,983827.544023866,429787.251001008,30120.88905,21629.0945488205,0,30139.99081,11086.6309450954,461063.687668942,69986.7223533648
